County,State,FIPS.County.Code,X2006.Prescribing.Rate,Year,County.1,State.1,FIPS.County.Code.1,X2007.Prescribing.Rate,Year.1,County.2,State.2,FIPS.County.Code.2,X2008.Prescribing.Rate,Year.2,County.3,State.3,FIPS.County.Code.3,X2009.Prescribing.Rate,Year.3,County.4,State.4,FIPS.County.Code.4,X2010.Prescribing.Rate,Year.4,County.5,State.5,FIPS.County.Code.5,X2011.Prescribing.Rate,Year.5,County.6,State.6,FIPS.County.Code.6,X2012.Prescribing.Rate,Year.6,County.7,State.7,FIPS.County.Code.7,X2013.Prescribing.Rate,Year.7,County.8,State.8,FIPS.County.Code.8,X2014.Prescribing.Rate,Year.8,County.9,State.9,FIPS.County.Code.9,X2015.Prescribing.Rate,Year.9,County.10,State.10,FIPS.County.Code.10,X2016.Prescribing.Rate,Year.10,County.11,State.11,State.County.FIPS.Code,X2017,Year.11
"Union, KY",KY,21225,128.8,X2006.Prescribing.Rate,"Union, KY",KY,21225,133.7,X2007.Prescribing.Rate,"Union, KY",KY,21225,147.9,X2008.Prescribing.Rate,"Union, KY",KY,21225,149.3,X2009.Prescribing.Rate,"Union, KY",KY,21225,146.3,X2010.Prescribing.Rate,"Union, KY",KY,21225,149.3,X2011.Prescribing.Rate,"Union, KY",KY,21225,153.8,X2012.Prescribing.Rate,"Union, KY",KY,21225,136.6,X2013.Prescribing.Rate,"Union, KY",KY,21225,143.5,X2014.Prescribing.Rate,"Union, KY",KY,21225,138.5,X2015.Prescribing.Rate,"Union, KY",KY,21225,126.9,X2016.Prescribing.Rate,SAINT CHARLES,LA,22089,67.8,2017
"Warren, KY",KY,21227,110.1,X2006.Prescribing.Rate,"Warren, KY",KY,21227,124.9,X2007.Prescribing.Rate,"Warren, KY",KY,21227,129,X2008.Prescribing.Rate,"Warren, KY",KY,21227,133.5,X2009.Prescribing.Rate,"Warren, KY",KY,21227,143.2,X2010.Prescribing.Rate,"Warren, KY",KY,21227,137.6,X2011.Prescribing.Rate,"Warren, KY",KY,21227,127.9,X2012.Prescribing.Rate,"Warren, KY",KY,21227,108.9,X2013.Prescribing.Rate,"Warren, KY",KY,21227,107.4,X2014.Prescribing.Rate,"Warren, KY",KY,21227,109.3,X2015.Prescribing.Rate,"Warren, KY",KY,21227,94.6,X2016.Prescribing.Rate,SAINT HELENA,LA,22091,75.6,2017
"Washington, KY",KY,21229,60.5,X2006.Prescribing.Rate,"Washington, KY",KY,21229,63.3,X2007.Prescribing.Rate,"Washington, KY",KY,21229,71.2,X2008.Prescribing.Rate,"Washington, KY",KY,21229,71.2,X2009.Prescribing.Rate,"Washington, KY",KY,21229,59.9,X2010.Prescribing.Rate,"Washington, KY",KY,21229,57.5,X2011.Prescribing.Rate,"Washington, KY",KY,21229,54.8,X2012.Prescribing.Rate,"Washington, KY",KY,21229,50.1,X2013.Prescribing.Rate,"Washington, KY",KY,21229,51.9,X2014.Prescribing.Rate,"Washington, KY",KY,21229,48.4,X2015.Prescribing.Rate,"Washington, KY",KY,21229,41.2,X2016.Prescribing.Rate,SAINT JAMES,LA,22093,77.6,2017
"Wayne, KY",KY,21231,218.8,X2006.Prescribing.Rate,"Wayne, KY",KY,21231,193.3,X2007.Prescribing.Rate,"Wayne, KY",KY,21231,168.3,X2008.Prescribing.Rate,"Wayne, KY",KY,21231,158,X2009.Prescribing.Rate,"Wayne, KY",KY,21231,145.4,X2010.Prescribing.Rate,"Wayne, KY",KY,21231,154.5,X2011.Prescribing.Rate,"Wayne, KY",KY,21231,174,X2012.Prescribing.Rate,"Wayne, KY",KY,21231,172.5,X2013.Prescribing.Rate,"Wayne, KY",KY,21231,168.9,X2014.Prescribing.Rate,"Wayne, KY",KY,21231,139.7,X2015.Prescribing.Rate,"Wayne, KY",KY,21231,128.1,X2016.Prescribing.Rate,SAINT LANDRY,LA,22097,137.2,2017
"Webster, KY",KY,21233,70.5,X2006.Prescribing.Rate,"Webster, KY",KY,21233,69.7,X2007.Prescribing.Rate,"Webster, KY",KY,21233,76.2,X2008.Prescribing.Rate,"Webster, KY",KY,21233,90,X2009.Prescribing.Rate,"Webster, KY",KY,21233,99.5,X2010.Prescribing.Rate,"Webster, KY",KY,21233,116.1,X2011.Prescribing.Rate,"Webster, KY",KY,21233,135.6,X2012.Prescribing.Rate,"Webster, KY",KY,21233,119.6,X2013.Prescribing.Rate,"Webster, KY",KY,21233,109.4,X2014.Prescribing.Rate,"Webster, KY",KY,21233,103.8,X2015.Prescribing.Rate,"Webster, KY",KY,21233,100.6,X2016.Prescribing.Rate,SAINT MARTIN,LA,22099,70.3,2017
"Whitley, KY",KY,21235,301.6,X2006.Prescribing.Rate,"Whitley, KY",KY,21235,312.2,X2007.Prescribing.Rate,"Whitley, KY",KY,21235,316.1,X2008.Prescribing.Rate,"Whitley, KY",KY,21235,308.6,X2009.Prescribing.Rate,"Whitley, KY",KY,21235,325.4,X2010.Prescribing.Rate,"Whitley, KY",KY,21235,345.6,X2011.Prescribing.Rate,"Whitley, KY",KY,21235,364.2,X2012.Prescribing.Rate,"Whitley, KY",KY,21235,312,X2013.Prescribing.Rate,"Whitley, KY",KY,21235,300.1,X2014.Prescribing.Rate,"Whitley, KY",KY,21235,265.2,X2015.Prescribing.Rate,"Whitley, KY",KY,21235,239.6,X2016.Prescribing.Rate,SAINT MARY,LA,22101,98,2017
"Wolfe, KY",KY,21237,,X2006.Prescribing.Rate,"Wolfe, KY",KY,21237,,X2007.Prescribing.Rate,"Wolfe, KY",KY,21237,37.3,X2008.Prescribing.Rate,"Wolfe, KY",KY,21237,76.7,X2009.Prescribing.Rate,"Wolfe, KY",KY,21237,75.4,X2010.Prescribing.Rate,"Wolfe, KY",KY,21237,32.2,X2011.Prescribing.Rate,"Wolfe, KY",KY,21237,101.1,X2012.Prescribing.Rate,"Wolfe, KY",KY,21237,184.5,X2013.Prescribing.Rate,"Wolfe, KY",KY,21237,198.7,X2014.Prescribing.Rate,"Wolfe, KY",KY,21237,194.9,X2015.Prescribing.Rate,"Wolfe, KY",KY,21237,163.9,X2016.Prescribing.Rate,SAINT TAMMANY,LA,22103,92,2017
"Woodford, KY",KY,21239,86.2,X2006.Prescribing.Rate,"Woodford, KY",KY,21239,83.9,X2007.Prescribing.Rate,"Woodford, KY",KY,21239,86.1,X2008.Prescribing.Rate,"Woodford, KY",KY,21239,80,X2009.Prescribing.Rate,"Woodford, KY",KY,21239,78.5,X2010.Prescribing.Rate,"Woodford, KY",KY,21239,81.9,X2011.Prescribing.Rate,"Woodford, KY",KY,21239,80,X2012.Prescribing.Rate,"Woodford, KY",KY,21239,72.9,X2013.Prescribing.Rate,"Woodford, KY",KY,21239,73.9,X2014.Prescribing.Rate,"Woodford, KY",KY,21239,65.5,X2015.Prescribing.Rate,"Woodford, KY",KY,21239,60.5,X2016.Prescribing.Rate,ST JOHN THE BAPTIST,LA,22095,92.8,2017
"Acadia, LA",LA,22001,87.5,X2006.Prescribing.Rate,"Acadia, LA",LA,22001,93.6,X2007.Prescribing.Rate,"Acadia, LA",LA,22001,94.8,X2008.Prescribing.Rate,"Acadia, LA",LA,22001,93.6,X2009.Prescribing.Rate,"Acadia, LA",LA,22001,93.4,X2010.Prescribing.Rate,"Acadia, LA",LA,22001,96.2,X2011.Prescribing.Rate,"Acadia, LA",LA,22001,84.7,X2012.Prescribing.Rate,"Acadia, LA",LA,22001,87.3,X2013.Prescribing.Rate,"Acadia, LA",LA,22001,80.2,X2014.Prescribing.Rate,"Acadia, LA",LA,22001,71.4,X2015.Prescribing.Rate,"Acadia, LA",LA,22001,76.8,X2016.Prescribing.Rate,TANGIPAHOA,LA,22105,115.4,2017
"Allen, LA",LA,22003,115.7,X2006.Prescribing.Rate,"Allen, LA",LA,22003,101.5,X2007.Prescribing.Rate,"Allen, LA",LA,22003,84.6,X2008.Prescribing.Rate,"Allen, LA",LA,22003,95.8,X2009.Prescribing.Rate,"Allen, LA",LA,22003,90.2,X2010.Prescribing.Rate,"Allen, LA",LA,22003,93.9,X2011.Prescribing.Rate,"Allen, LA",LA,22003,99,X2012.Prescribing.Rate,"Allen, LA",LA,22003,115,X2013.Prescribing.Rate,"Allen, LA",LA,22003,115,X2014.Prescribing.Rate,"Allen, LA",LA,22003,102.1,X2015.Prescribing.Rate,"Allen, LA",LA,22003,92.8,X2016.Prescribing.Rate,TENSAS,LA,22107,64.1,2017
"Ascension, LA",LA,22005,118.8,X2006.Prescribing.Rate,"Ascension, LA",LA,22005,116.5,X2007.Prescribing.Rate,"Ascension, LA",LA,22005,134.5,X2008.Prescribing.Rate,"Ascension, LA",LA,22005,135.1,X2009.Prescribing.Rate,"Ascension, LA",LA,22005,124.9,X2010.Prescribing.Rate,"Ascension, LA",LA,22005,118.6,X2011.Prescribing.Rate,"Ascension, LA",LA,22005,117.1,X2012.Prescribing.Rate,"Ascension, LA",LA,22005,118.3,X2013.Prescribing.Rate,"Ascension, LA",LA,22005,110.1,X2014.Prescribing.Rate,"Ascension, LA",LA,22005,99.9,X2015.Prescribing.Rate,"Ascension, LA",LA,22005,93.5,X2016.Prescribing.Rate,TERREBONNE,LA,22109,90.9,2017
"Assumption, LA",LA,22007,34.8,X2006.Prescribing.Rate,"Assumption, LA",LA,22007,40.6,X2007.Prescribing.Rate,"Assumption, LA",LA,22007,39.7,X2008.Prescribing.Rate,"Assumption, LA",LA,22007,38.3,X2009.Prescribing.Rate,"Assumption, LA",LA,22007,40.9,X2010.Prescribing.Rate,"Assumption, LA",LA,22007,39.1,X2011.Prescribing.Rate,"Assumption, LA",LA,22007,39.9,X2012.Prescribing.Rate,"Assumption, LA",LA,22007,38.6,X2013.Prescribing.Rate,"Assumption, LA",LA,22007,36.4,X2014.Prescribing.Rate,"Assumption, LA",LA,22007,34.7,X2015.Prescribing.Rate,"Assumption, LA",LA,22007,33.1,X2016.Prescribing.Rate,UNION,LA,22111,83.2,2017
"Avoyelles, LA",LA,22009,111,X2006.Prescribing.Rate,"Avoyelles, LA",LA,22009,126.7,X2007.Prescribing.Rate,"Avoyelles, LA",LA,22009,125.6,X2008.Prescribing.Rate,"Avoyelles, LA",LA,22009,134.3,X2009.Prescribing.Rate,"Avoyelles, LA",LA,22009,131.7,X2010.Prescribing.Rate,"Avoyelles, LA",LA,22009,128.8,X2011.Prescribing.Rate,"Avoyelles, LA",LA,22009,134.9,X2012.Prescribing.Rate,"Avoyelles, LA",LA,22009,143,X2013.Prescribing.Rate,"Avoyelles, LA",LA,22009,146.5,X2014.Prescribing.Rate,"Avoyelles, LA",LA,22009,126.4,X2015.Prescribing.Rate,"Avoyelles, LA",LA,22009,126.6,X2016.Prescribing.Rate,VERMILION,LA,22113,61.4,2017
"Beauregard, LA",LA,22011,87,X2006.Prescribing.Rate,"Beauregard, LA",LA,22011,81.8,X2007.Prescribing.Rate,"Beauregard, LA",LA,22011,84.6,X2008.Prescribing.Rate,"Beauregard, LA",LA,22011,100.9,X2009.Prescribing.Rate,"Beauregard, LA",LA,22011,117.3,X2010.Prescribing.Rate,"Beauregard, LA",LA,22011,109.7,X2011.Prescribing.Rate,"Beauregard, LA",LA,22011,109.7,X2012.Prescribing.Rate,"Beauregard, LA",LA,22011,91.1,X2013.Prescribing.Rate,"Beauregard, LA",LA,22011,84,X2014.Prescribing.Rate,"Beauregard, LA",LA,22011,77.6,X2015.Prescribing.Rate,"Beauregard, LA",LA,22011,75.2,X2016.Prescribing.Rate,VERNON,LA,22115,70.3,2017
"Bienville, LA",LA,22013,,X2006.Prescribing.Rate,"Bienville, LA",LA,22013,,X2007.Prescribing.Rate,"Bienville, LA",LA,22013,,X2008.Prescribing.Rate,"Bienville, LA",LA,22013,,X2009.Prescribing.Rate,"Bienville, LA",LA,22013,,X2010.Prescribing.Rate,"Bienville, LA",LA,22013,,X2011.Prescribing.Rate,"Bienville, LA",LA,22013,,X2012.Prescribing.Rate,"Bienville, LA",LA,22013,58.8,X2013.Prescribing.Rate,"Bienville, LA",LA,22013,88.5,X2014.Prescribing.Rate,"Bienville, LA",LA,22013,79,X2015.Prescribing.Rate,"Bienville, LA",LA,22013,59.4,X2016.Prescribing.Rate,WASHINGTON,LA,22117,125.8,2017
"Bossier, LA",LA,22015,109.8,X2006.Prescribing.Rate,"Bossier, LA",LA,22015,114.3,X2007.Prescribing.Rate,"Bossier, LA",LA,22015,118.2,X2008.Prescribing.Rate,"Bossier, LA",LA,22015,116,X2009.Prescribing.Rate,"Bossier, LA",LA,22015,113,X2010.Prescribing.Rate,"Bossier, LA",LA,22015,112.5,X2011.Prescribing.Rate,"Bossier, LA",LA,22015,107.2,X2012.Prescribing.Rate,"Bossier, LA",LA,22015,105.2,X2013.Prescribing.Rate,"Bossier, LA",LA,22015,102.8,X2014.Prescribing.Rate,"Bossier, LA",LA,22015,98,X2015.Prescribing.Rate,"Bossier, LA",LA,22015,95.3,X2016.Prescribing.Rate,WEBSTER,LA,22119,107.1,2017
"Caddo, LA",LA,22017,118.8,X2006.Prescribing.Rate,"Caddo, LA",LA,22017,121.1,X2007.Prescribing.Rate,"Caddo, LA",LA,22017,130.3,X2008.Prescribing.Rate,"Caddo, LA",LA,22017,136.2,X2009.Prescribing.Rate,"Caddo, LA",LA,22017,133.4,X2010.Prescribing.Rate,"Caddo, LA",LA,22017,121.9,X2011.Prescribing.Rate,"Caddo, LA",LA,22017,122.5,X2012.Prescribing.Rate,"Caddo, LA",LA,22017,123,X2013.Prescribing.Rate,"Caddo, LA",LA,22017,118.6,X2014.Prescribing.Rate,"Caddo, LA",LA,22017,108.6,X2015.Prescribing.Rate,"Caddo, LA",LA,22017,112.1,X2016.Prescribing.Rate,WEST BATON ROUGE,LA,22121,87.7,2017
"Calcasieu, LA",LA,22019,120.9,X2006.Prescribing.Rate,"Calcasieu, LA",LA,22019,117.1,X2007.Prescribing.Rate,"Calcasieu, LA",LA,22019,121.3,X2008.Prescribing.Rate,"Calcasieu, LA",LA,22019,118.2,X2009.Prescribing.Rate,"Calcasieu, LA",LA,22019,115,X2010.Prescribing.Rate,"Calcasieu, LA",LA,22019,115.4,X2011.Prescribing.Rate,"Calcasieu, LA",LA,22019,121.7,X2012.Prescribing.Rate,"Calcasieu, LA",LA,22019,124.9,X2013.Prescribing.Rate,"Calcasieu, LA",LA,22019,123.2,X2014.Prescribing.Rate,"Calcasieu, LA",LA,22019,110.9,X2015.Prescribing.Rate,"Calcasieu, LA",LA,22019,105.6,X2016.Prescribing.Rate,WEST CARROLL,LA,22123,51.9,2017
"Caldwell, LA",LA,22021,,X2006.Prescribing.Rate,"Caldwell, LA",LA,22021,,X2007.Prescribing.Rate,"Caldwell, LA",LA,22021,,X2008.Prescribing.Rate,"Caldwell, LA",LA,22021,,X2009.Prescribing.Rate,"Caldwell, LA",LA,22021,,X2010.Prescribing.Rate,"Caldwell, LA",LA,22021,,X2011.Prescribing.Rate,"Caldwell, LA",LA,22021,,X2012.Prescribing.Rate,"Caldwell, LA",LA,22021,58.2,X2013.Prescribing.Rate,"Caldwell, LA",LA,22021,86.9,X2014.Prescribing.Rate,"Caldwell, LA",LA,22021,62.9,X2015.Prescribing.Rate,"Caldwell, LA",LA,22021,51.8,X2016.Prescribing.Rate,WEST FELICIANA,LA,22125,43,2017
"Cameron, LA",LA,22023,,X2006.Prescribing.Rate,"Cameron, LA",LA,22023,,X2007.Prescribing.Rate,"Cameron, LA",LA,22023,,X2008.Prescribing.Rate,"Cameron, LA",LA,22023,,X2009.Prescribing.Rate,"Cameron, LA",LA,22023,,X2010.Prescribing.Rate,"Cameron, LA",LA,22023,,X2011.Prescribing.Rate,"Cameron, LA",LA,22023,,X2012.Prescribing.Rate,"Cameron, LA",LA,22023,,X2013.Prescribing.Rate,"Cameron, LA",LA,22023,,X2014.Prescribing.Rate,"Cameron, LA",LA,22023,,X2015.Prescribing.Rate,"Cameron, LA",LA,22023,,X2016.Prescribing.Rate,WINN,LA,22127,98.1,2017
"Catahoula, LA",LA,22025,113.2,X2006.Prescribing.Rate,"Catahoula, LA",LA,22025,115.2,X2007.Prescribing.Rate,"Catahoula, LA",LA,22025,115.1,X2008.Prescribing.Rate,"Catahoula, LA",LA,22025,117.4,X2009.Prescribing.Rate,"Catahoula, LA",LA,22025,109.5,X2010.Prescribing.Rate,"Catahoula, LA",LA,22025,102.6,X2011.Prescribing.Rate,"Catahoula, LA",LA,22025,114.7,X2012.Prescribing.Rate,"Catahoula, LA",LA,22025,114.8,X2013.Prescribing.Rate,"Catahoula, LA",LA,22025,113.3,X2014.Prescribing.Rate,"Catahoula, LA",LA,22025,93.3,X2015.Prescribing.Rate,"Catahoula, LA",LA,22025,96.5,X2016.Prescribing.Rate,BARNSTABLE,MA,25001,50.9,2017
"Claiborne, LA",LA,22027,54.6,X2006.Prescribing.Rate,"Claiborne, LA",LA,22027,54,X2007.Prescribing.Rate,"Claiborne, LA",LA,22027,46.1,X2008.Prescribing.Rate,"Claiborne, LA",LA,22027,,X2009.Prescribing.Rate,"Claiborne, LA",LA,22027,,X2010.Prescribing.Rate,"Claiborne, LA",LA,22027,58.9,X2011.Prescribing.Rate,"Claiborne, LA",LA,22027,66.8,X2012.Prescribing.Rate,"Claiborne, LA",LA,22027,71.2,X2013.Prescribing.Rate,"Claiborne, LA",LA,22027,85,X2014.Prescribing.Rate,"Claiborne, LA",LA,22027,89.7,X2015.Prescribing.Rate,"Claiborne, LA",LA,22027,97.1,X2016.Prescribing.Rate,BERKSHIRE,MA,25003,51.8,2017
"Concordia, LA",LA,22029,105.7,X2006.Prescribing.Rate,"Concordia, LA",LA,22029,123.9,X2007.Prescribing.Rate,"Concordia, LA",LA,22029,138.8,X2008.Prescribing.Rate,"Concordia, LA",LA,22029,105,X2009.Prescribing.Rate,"Concordia, LA",LA,22029,101.6,X2010.Prescribing.Rate,"Concordia, LA",LA,22029,78.7,X2011.Prescribing.Rate,"Concordia, LA",LA,22029,63.3,X2012.Prescribing.Rate,"Concordia, LA",LA,22029,80.8,X2013.Prescribing.Rate,"Concordia, LA",LA,22029,93.9,X2014.Prescribing.Rate,"Concordia, LA",LA,22029,74.3,X2015.Prescribing.Rate,"Concordia, LA",LA,22029,76.7,X2016.Prescribing.Rate,BRISTOL,MA,25005,62.1,2017
"De Soto, LA",LA,22031,31.7,X2006.Prescribing.Rate,"De Soto, LA",LA,22031,32.4,X2007.Prescribing.Rate,"De Soto, LA",LA,22031,36.8,X2008.Prescribing.Rate,"De Soto, LA",LA,22031,16.7,X2009.Prescribing.Rate,"De Soto, LA",LA,22031,9.8,X2010.Prescribing.Rate,"De Soto, LA",LA,22031,28.6,X2011.Prescribing.Rate,"De Soto, LA",LA,22031,33.3,X2012.Prescribing.Rate,"De Soto, LA",LA,22031,36.6,X2013.Prescribing.Rate,"De Soto, LA",LA,22031,40.3,X2014.Prescribing.Rate,"De Soto, LA",LA,22031,52.1,X2015.Prescribing.Rate,"De Soto, LA",LA,22031,64.4,X2016.Prescribing.Rate,DUKES,MA,25007,47.9,2017
"East Baton Rouge, LA",LA,22033,121.7,X2006.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,123,X2007.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,130.9,X2008.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,128.7,X2009.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,125.6,X2010.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,121.7,X2011.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,118.2,X2012.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,113.9,X2013.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,103.8,X2014.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,96.1,X2015.Prescribing.Rate,"East Baton Rouge, LA",LA,22033,92.1,X2016.Prescribing.Rate,ESSEX,MA,25009,39.4,2017
"East Carroll, LA",LA,22035,83.1,X2006.Prescribing.Rate,"East Carroll, LA",LA,22035,99.6,X2007.Prescribing.Rate,"East Carroll, LA",LA,22035,92.5,X2008.Prescribing.Rate,"East Carroll, LA",LA,22035,101,X2009.Prescribing.Rate,"East Carroll, LA",LA,22035,108.1,X2010.Prescribing.Rate,"East Carroll, LA",LA,22035,96.6,X2011.Prescribing.Rate,"East Carroll, LA",LA,22035,106.2,X2012.Prescribing.Rate,"East Carroll, LA",LA,22035,99.3,X2013.Prescribing.Rate,"East Carroll, LA",LA,22035,98.7,X2014.Prescribing.Rate,"East Carroll, LA",LA,22035,101.9,X2015.Prescribing.Rate,"East Carroll, LA",LA,22035,105.8,X2016.Prescribing.Rate,FRANKLIN,MA,25011,46.3,2017
"East Feliciana, LA",LA,22037,64.9,X2006.Prescribing.Rate,"East Feliciana, LA",LA,22037,70.6,X2007.Prescribing.Rate,"East Feliciana, LA",LA,22037,74.2,X2008.Prescribing.Rate,"East Feliciana, LA",LA,22037,69.2,X2009.Prescribing.Rate,"East Feliciana, LA",LA,22037,71.5,X2010.Prescribing.Rate,"East Feliciana, LA",LA,22037,72.4,X2011.Prescribing.Rate,"East Feliciana, LA",LA,22037,71.9,X2012.Prescribing.Rate,"East Feliciana, LA",LA,22037,59.9,X2013.Prescribing.Rate,"East Feliciana, LA",LA,22037,52.7,X2014.Prescribing.Rate,"East Feliciana, LA",LA,22037,50.8,X2015.Prescribing.Rate,"East Feliciana, LA",LA,22037,46.6,X2016.Prescribing.Rate,HAMPDEN,MA,25013,57.7,2017
"Evangeline, LA",LA,22039,187.4,X2006.Prescribing.Rate,"Evangeline, LA",LA,22039,179.6,X2007.Prescribing.Rate,"Evangeline, LA",LA,22039,192.8,X2008.Prescribing.Rate,"Evangeline, LA",LA,22039,192.6,X2009.Prescribing.Rate,"Evangeline, LA",LA,22039,193.1,X2010.Prescribing.Rate,"Evangeline, LA",LA,22039,192,X2011.Prescribing.Rate,"Evangeline, LA",LA,22039,227.8,X2012.Prescribing.Rate,"Evangeline, LA",LA,22039,227.4,X2013.Prescribing.Rate,"Evangeline, LA",LA,22039,221.6,X2014.Prescribing.Rate,"Evangeline, LA",LA,22039,209.8,X2015.Prescribing.Rate,"Evangeline, LA",LA,22039,192.1,X2016.Prescribing.Rate,HAMPSHIRE,MA,25015,48.8,2017
"Franklin, LA",LA,22041,87.7,X2006.Prescribing.Rate,"Franklin, LA",LA,22041,84.8,X2007.Prescribing.Rate,"Franklin, LA",LA,22041,100.2,X2008.Prescribing.Rate,"Franklin, LA",LA,22041,109.3,X2009.Prescribing.Rate,"Franklin, LA",LA,22041,106.5,X2010.Prescribing.Rate,"Franklin, LA",LA,22041,105.6,X2011.Prescribing.Rate,"Franklin, LA",LA,22041,102.7,X2012.Prescribing.Rate,"Franklin, LA",LA,22041,105.1,X2013.Prescribing.Rate,"Franklin, LA",LA,22041,100.7,X2014.Prescribing.Rate,"Franklin, LA",LA,22041,91.9,X2015.Prescribing.Rate,"Franklin, LA",LA,22041,123.6,X2016.Prescribing.Rate,MIDDLESEX,MA,25017,28.8,2017
"Grant, LA",LA,22043,19.9,X2006.Prescribing.Rate,"Grant, LA",LA,22043,23.5,X2007.Prescribing.Rate,"Grant, LA",LA,22043,18.2,X2008.Prescribing.Rate,"Grant, LA",LA,22043,16.9,X2009.Prescribing.Rate,"Grant, LA",LA,22043,16.4,X2010.Prescribing.Rate,"Grant, LA",LA,22043,4.9,X2011.Prescribing.Rate,"Grant, LA",LA,22043,,X2012.Prescribing.Rate,"Grant, LA",LA,22043,,X2013.Prescribing.Rate,"Grant, LA",LA,22043,2.1,X2014.Prescribing.Rate,"Grant, LA",LA,22043,2.9,X2015.Prescribing.Rate,"Grant, LA",LA,22043,43.2,X2016.Prescribing.Rate,NANTUCKET,MA,25019,31.1,2017
"Iberia, LA",LA,22045,111.2,X2006.Prescribing.Rate,"Iberia, LA",LA,22045,113.6,X2007.Prescribing.Rate,"Iberia, LA",LA,22045,120.8,X2008.Prescribing.Rate,"Iberia, LA",LA,22045,121.6,X2009.Prescribing.Rate,"Iberia, LA",LA,22045,118.5,X2010.Prescribing.Rate,"Iberia, LA",LA,22045,115.6,X2011.Prescribing.Rate,"Iberia, LA",LA,22045,120.4,X2012.Prescribing.Rate,"Iberia, LA",LA,22045,122.6,X2013.Prescribing.Rate,"Iberia, LA",LA,22045,117,X2014.Prescribing.Rate,"Iberia, LA",LA,22045,98.6,X2015.Prescribing.Rate,"Iberia, LA",LA,22045,93.1,X2016.Prescribing.Rate,NORFOLK,MA,25021,35.6,2017
"Iberville, LA",LA,22047,81.8,X2006.Prescribing.Rate,"Iberville, LA",LA,22047,84.7,X2007.Prescribing.Rate,"Iberville, LA",LA,22047,91.8,X2008.Prescribing.Rate,"Iberville, LA",LA,22047,97.7,X2009.Prescribing.Rate,"Iberville, LA",LA,22047,99.8,X2010.Prescribing.Rate,"Iberville, LA",LA,22047,97,X2011.Prescribing.Rate,"Iberville, LA",LA,22047,102.5,X2012.Prescribing.Rate,"Iberville, LA",LA,22047,104.9,X2013.Prescribing.Rate,"Iberville, LA",LA,22047,99.8,X2014.Prescribing.Rate,"Iberville, LA",LA,22047,93.2,X2015.Prescribing.Rate,"Iberville, LA",LA,22047,80.7,X2016.Prescribing.Rate,PLYMOUTH,MA,25023,45.6,2017
"Jackson, LA",LA,22049,41.8,X2006.Prescribing.Rate,"Jackson, LA",LA,22049,27.7,X2007.Prescribing.Rate,"Jackson, LA",LA,22049,26.6,X2008.Prescribing.Rate,"Jackson, LA",LA,22049,26.1,X2009.Prescribing.Rate,"Jackson, LA",LA,22049,23.4,X2010.Prescribing.Rate,"Jackson, LA",LA,22049,25.2,X2011.Prescribing.Rate,"Jackson, LA",LA,22049,34.1,X2012.Prescribing.Rate,"Jackson, LA",LA,22049,34.8,X2013.Prescribing.Rate,"Jackson, LA",LA,22049,42.4,X2014.Prescribing.Rate,"Jackson, LA",LA,22049,40.9,X2015.Prescribing.Rate,"Jackson, LA",LA,22049,77.7,X2016.Prescribing.Rate,SUFFOLK,MA,25025,26.8,2017
"Jefferson Davis, LA",LA,22053,102.4,X2006.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,110.6,X2007.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,131.6,X2008.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,128.6,X2009.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,113.7,X2010.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,117,X2011.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,115.8,X2012.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,114.7,X2013.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,118.4,X2014.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,110,X2015.Prescribing.Rate,"Jefferson Davis, LA",LA,22053,103.7,X2016.Prescribing.Rate,WORCESTER,MA,25027,43.9,2017
"Jefferson, LA",LA,22051,149.7,X2006.Prescribing.Rate,"Jefferson, LA",LA,22051,144.7,X2007.Prescribing.Rate,"Jefferson, LA",LA,22051,136.7,X2008.Prescribing.Rate,"Jefferson, LA",LA,22051,125.6,X2009.Prescribing.Rate,"Jefferson, LA",LA,22051,122.1,X2010.Prescribing.Rate,"Jefferson, LA",LA,22051,123.3,X2011.Prescribing.Rate,"Jefferson, LA",LA,22051,124.1,X2012.Prescribing.Rate,"Jefferson, LA",LA,22051,123.6,X2013.Prescribing.Rate,"Jefferson, LA",LA,22051,119.5,X2014.Prescribing.Rate,"Jefferson, LA",LA,22051,115.1,X2015.Prescribing.Rate,"Jefferson, LA",LA,22051,106.5,X2016.Prescribing.Rate,ALLEGANY,MD,24001,109.9,2017
